[BernoulliRBM] Iteration 1, pseudo-likelihood = -2.91, time = 0.00s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -2.82, time = 0.00s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -2.80, time = 0.00s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -2.72, time = 0.00s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -2.70, time = 0.00s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -2.86, time = 0.00s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -2.83, time = 0.00s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -2.76, time = 0.00s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -2.69, time = 0.00s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -2.80, time = 0.00s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -2.72, time = 0.00s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -2.76, time = 0.00s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -2.83, time = 0.00s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -2.79, time = 0.00s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -2.73, time = 0.00s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -2.78, time = 0.00s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -2.84, time = 0.00s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -2.82, time = 0.00s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -2.79, time = 0.00s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -2.82, time = 0.00s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -2.92, time = 0.00s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -2.82, time = 0.00s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -2.83, time = 0.00s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -2.79, time = 0.00s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -2.74, time = 0.00s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 32, pseudo-likelihood = -2.77, time = 0.00s
[BernoulliRBM] Iteration 33, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 34, pseudo-likelihood = -2.75, time = 0.00s
[BernoulliRBM] Iteration 35, pseudo-likelihood = -2.78, time = 0.00s
[BernoulliRBM] Iteration 36, pseudo-likelihood = -2.78, time = 0.00s
