ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  0, inertia 7969.533
Iteration  1, inertia 5188.913
Iteration  2, inertia 5003.640
Iteration  3, inertia 4912.789
Iteration  4, inertia 4866.207
Iteration  5, inertia 4836.599
Iteration  6, inertia 4808.301
Iteration  7, inertia 4789.377
Iteration  8, inertia 4768.850
Iteration  9, inertia 4759.854
Iteration 10, inertia 4752.255
Iteration 11, inertia 4742.282
Iteration 12, inertia 4724.527
Iteration 13, inertia 4683.235
Iteration 14, inertia 4661.961
Iteration 15, inertia 4653.962
Iteration 16, inertia 4650.481
Iteration 17, inertia 4649.381
Iteration 18, inertia 4648.737
Iteration 19, inertia 4648.364
Iteration 20, inertia 4648.128
Iteration 21, inertia 4647.694
Iteration 22, inertia 4647.467
Iteration 23, inertia 4647.292
Converged at iteration 23
Initialization complete
Iteration  0, inertia 7931.637
Iteration  1, inertia 4915.108
Iteration  2, inertia 4766.238
Iteration  3, inertia 4709.123
Iteration  4, inertia 4685.758
Iteration  5, inertia 4676.147
Iteration  6, inertia 4669.830
Iteration  7, inertia 4667.773
Iteration  8, inertia 4667.229
Iteration  9, inertia 4666.841
Iteration 10, inertia 4666.705
Converged at iteration 10
Initialization complete
Iteration  0, inertia 7713.930
Iteration  1, inertia 5021.080
Iteration  2, inertia 4897.510
Iteration  3, inertia 4862.030
Iteration  4, inertia 4827.105
Iteration  5, inertia 4806.953
Iteration  6, inertia 4791.672
Iteration  7, inertia 4776.834
Iteration  8, inertia 4766.714
Iteration  9, inertia 4763.662
Iteration 10, inertia 4762.331
Iteration 11, inertia 4761.731
Iteration 12, inertia 4761.015
Iteration 13, inertia 4760.509
Iteration 14, inertia 4760.077
Iteration 15, inertia 4759.844
Iteration 16, inertia 4759.656
Iteration 17, inertia 4759.584
Iteration 18, inertia 4759.488
Iteration 19, inertia 4759.414
Converged at iteration 19
Initialization complete
Iteration  0, inertia 7938.581
Iteration  1, inertia 5047.467
Iteration  2, inertia 4890.291
Iteration  3, inertia 4829.594
Iteration  4, inertia 4768.169
Iteration  5, inertia 4731.655
Iteration  6, inertia 4716.888
Iteration  7, inertia 4710.999
Iteration  8, inertia 4707.709
Iteration  9, inertia 4705.947
Iteration 10, inertia 4703.706
Iteration 11, inertia 4699.561
Iteration 12, inertia 4690.661
Iteration 13, inertia 4680.076
Iteration 14, inertia 4674.185
Iteration 15, inertia 4672.000
Iteration 16, inertia 4671.387
Iteration 17, inertia 4671.171
Iteration 18, inertia 4671.106
Converged at iteration 18
Initialization complete
Iteration  0, inertia 7843.709
Iteration  1, inertia 4990.858
Iteration  2, inertia 4876.515
Iteration  3, inertia 4809.123
Iteration  4, inertia 4755.488
Iteration  5, inertia 4724.835
Iteration  6, inertia 4698.991
Iteration  7, inertia 4682.057
Iteration  8, inertia 4676.732
Iteration  9, inertia 4671.820
Iteration 10, inertia 4669.013
Iteration 11, inertia 4667.926
Iteration 12, inertia 4667.485
Iteration 13, inertia 4666.968
Iteration 14, inertia 4666.404
Iteration 15, inertia 4665.459
Iteration 16, inertia 4664.708
Iteration 17, inertia 4663.611
Iteration 18, inertia 4662.386
Iteration 19, inertia 4662.118
Iteration 20, inertia 4661.854
Iteration 21, inertia 4661.440
Iteration 22, inertia 4660.682
Iteration 23, inertia 4660.178
Iteration 24, inertia 4659.983
Iteration 25, inertia 4659.851
Iteration 26, inertia 4659.794
Converged at iteration 26
Initialization complete
Iteration  0, inertia 8054.613
Iteration  1, inertia 5053.874
Iteration  2, inertia 4854.575
Iteration  3, inertia 4788.510
Iteration  4, inertia 4742.907
Iteration  5, inertia 4697.258
Iteration  6, inertia 4667.568
Iteration  7, inertia 4661.954
Iteration  8, inertia 4660.423
Iteration  9, inertia 4659.954
Iteration 10, inertia 4659.823
Iteration 11, inertia 4659.664
Iteration 12, inertia 4659.176
Iteration 13, inertia 4658.532
Iteration 14, inertia 4658.421
Iteration 15, inertia 4658.388
Iteration 16, inertia 4658.355
Iteration 17, inertia 4658.328
Converged at iteration 17
Initialization complete
Iteration  0, inertia 7771.926
Iteration  1, inertia 5106.110
Iteration  2, inertia 4958.483
Iteration  3, inertia 4919.742
Iteration  4, inertia 4898.464
Iteration  5, inertia 4885.490
Iteration  6, inertia 4859.645
