NMFReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  0, inertia 7687.180
Iteration  1, inertia 4969.430
Iteration  2, inertia 4867.713
Iteration  3, inertia 4836.003
Iteration  4, inertia 4821.731
Iteration  5, inertia 4790.495
Iteration  6, inertia 4760.868
Iteration  7, inertia 4737.131
Iteration  8, inertia 4717.789
Iteration  9, inertia 4700.108
Iteration 10, inertia 4686.640
Iteration 11, inertia 4675.184
Iteration 12, inertia 4672.011
Iteration 13, inertia 4671.565
Iteration 14, inertia 4671.521
Converged at iteration 14
Initialization complete
Iteration  0, inertia 8138.265
Iteration  1, inertia 5128.818
Iteration  2, inertia 4969.717
Iteration  3, inertia 4909.925
Iteration  4, inertia 4882.082
Iteration  5, inertia 4869.948
Iteration  6, inertia 4863.735
Iteration  7, inertia 4859.917
Iteration  8, inertia 4857.664
Iteration  9, inertia 4854.122
Iteration 10, inertia 4850.227
Iteration 11, inertia 4846.697
Iteration 12, inertia 4842.647
Iteration 13, inertia 4837.338
Iteration 14, inertia 4835.209
Iteration 15, inertia 4834.085
Iteration 16, inertia 4833.685
Iteration 17, inertia 4833.531
Iteration 18, inertia 4833.405
Converged at iteration 18
Initialization complete
Iteration  0, inertia 7555.485
Iteration  1, inertia 4986.061
Iteration  2, inertia 4834.049
Iteration  3, inertia 4788.392
Iteration  4, inertia 4758.697
Iteration  5, inertia 4725.810
Iteration  6, inertia 4699.748
Iteration  7, inertia 4684.950
Iteration  8, inertia 4681.529
Iteration  9, inertia 4678.726
Iteration 10, inertia 4675.387
Iteration 11, inertia 4672.869
Iteration 12, inertia 4669.656
Iteration 13, inertia 4665.313
Iteration 14, inertia 4660.897
Iteration 15, inertia 4655.860
Iteration 16, inertia 4652.197
Iteration 17, inertia 4650.437
Iteration 18, inertia 4649.231
Iteration 19, inertia 4648.673
Iteration 20, inertia 4647.975
Iteration 21, inertia 4647.504
Iteration 22, inertia 4647.460
Iteration 23, inertia 4647.410
Converged at iteration 23
Initialization complete
Iteration  0, inertia 8243.764
Iteration  1, inertia 5242.269
Iteration  2, inertia 4984.244
Iteration  3, inertia 4913.800
Iteration  4, inertia 4887.274
Iteration  5, inertia 4871.839
Iteration  6, inertia 4857.949
Iteration  7, inertia 4848.693
Iteration  8, inertia 4842.935
Iteration  9, inertia 4838.651
Iteration 10, inertia 4836.173
Iteration 11, inertia 4834.904
Iteration 12, inertia 4834.457
Iteration 13, inertia 4834.305
Iteration 14, inertia 4834.219
Converged at iteration 14
Initialization complete
Iteration  0, inertia 8085.610
Iteration  1, inertia 5207.551
Iteration  2, inertia 5085.120
Iteration  3, inertia 5013.935
Iteration  4, inertia 4978.409
Iteration  5, inertia 4959.399
Iteration  6, inertia 4948.567
Iteration  7, inertia 4936.722
Iteration  8, inertia 4914.442
Iteration  9, inertia 4871.224
Iteration 10, inertia 4823.143
Iteration 11, inertia 4775.160
Iteration 12, inertia 4751.118
Iteration 13, inertia 4738.913
Iteration 14, inertia 4734.342
Iteration 15, inertia 4732.827
Iteration 16, inertia 4731.433
Iteration 17, inertia 4730.826
Iteration 18, inertia 4730.328
Iteration 19, inertia 4729.879
Iteration 20, inertia 4729.728
Converged at iteration 20
Initialization complete
Iteration  0, inertia 8126.316
Iteration  1, inertia 5073.573
Iteration  2, inertia 4932.462
Iteration  3, inertia 4887.203
Iteration  4, inertia 4862.462
Iteration  5, inertia 4840.068
Iteration  6, inertia 4810.490
Iteration  7, inertia 4765.187
Iteration  8, inertia 4717.667
Iteration  9, inertia 4703.123
Iteration 10, inertia 4699.953
Iteration 11, inertia 4697.877
Iteration 12, inertia 4697.011
Iteration 13, inertia 4696.094
Iteration 14, inertia 4695.964
Iteration 15, inertia 4695.932
Converged at iteration 15
Initialization complete
Iteration  0, inertia 7915.698
Iteration  1, inertia 5058.272
Iteration  2, inertia 4946.615
Iteration  3, inertia 4889.446
Iteration  4, inertia 4846.325
Iteration  5, inertia 4813.011
Iteration  6, inertia 4787.413
Iteration  7, inertia 4774.554
Iteration  8, inertia 4770.970
Iteration  9, inertia 4769.337
Iteration 10, inertia 4768.115
Iteration 11, inertia 4767.564
Iteration 12, inertia 4766.823
Iteration 13, inertia 4764.046
Iteration 14, inertia 4755.884
Iteration 15, inertia 4728.305
