PCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  0, inertia 7662.382
Iteration  1, inertia 4944.392
Iteration  2, inertia 4733.711
Iteration  3, inertia 4679.373
Iteration  4, inertia 4669.339
Iteration  5, inertia 4664.691
Iteration  6, inertia 4661.941
Iteration  7, inertia 4659.769
Iteration  8, inertia 4656.688
Iteration  9, inertia 4653.678
Iteration 10, inertia 4651.438
Iteration 11, inertia 4650.041
Iteration 12, inertia 4649.644
Iteration 13, inertia 4649.569
Converged at iteration 13
Initialization complete
Iteration  0, inertia 7906.640
Iteration  1, inertia 5065.943
Iteration  2, inertia 4871.049
Iteration  3, inertia 4820.231
Iteration  4, inertia 4799.548
Iteration  5, inertia 4780.009
Iteration  6, inertia 4766.540
Iteration  7, inertia 4764.448
Iteration  8, inertia 4763.533
Iteration  9, inertia 4763.058
Iteration 10, inertia 4762.833
Iteration 11, inertia 4762.321
Iteration 12, inertia 4760.905
Iteration 13, inertia 4759.912
Iteration 14, inertia 4758.748
Iteration 15, inertia 4758.303
Iteration 16, inertia 4758.145
Iteration 17, inertia 4757.881
Iteration 18, inertia 4757.739
Iteration 19, inertia 4757.701
Converged at iteration 19
Initialization complete
Iteration  0, inertia 7762.538
Iteration  1, inertia 5185.265
Iteration  2, inertia 4980.373
Iteration  3, inertia 4830.021
Iteration  4, inertia 4772.440
Iteration  5, inertia 4719.066
Iteration  6, inertia 4685.863
Iteration  7, inertia 4671.152
Iteration  8, inertia 4666.012
Iteration  9, inertia 4664.011
Iteration 10, inertia 4662.266
Iteration 11, inertia 4661.315
Iteration 12, inertia 4660.742
Iteration 13, inertia 4660.249
Iteration 14, inertia 4659.892
Iteration 15, inertia 4659.648
Iteration 16, inertia 4659.081
Iteration 17, inertia 4659.024
Iteration 18, inertia 4658.984
Converged at iteration 18
Initialization complete
Iteration  0, inertia 7487.536
Iteration  1, inertia 4826.992
Iteration  2, inertia 4702.631
Iteration  3, inertia 4672.389
Iteration  4, inertia 4665.669
Iteration  5, inertia 4662.631
Iteration  6, inertia 4661.224
Iteration  7, inertia 4660.682
Iteration  8, inertia 4660.475
Iteration  9, inertia 4660.412
Iteration 10, inertia 4660.366
Converged at iteration 10
Initialization complete
Iteration  0, inertia 7894.420
Iteration  1, inertia 5138.491
Iteration  2, inertia 5032.429
Iteration  3, inertia 4980.208
Iteration  4, inertia 4944.548
Iteration  5, inertia 4895.665
Iteration  6, inertia 4849.554
Iteration  7, inertia 4815.779
Iteration  8, inertia 4793.888
Iteration  9, inertia 4777.161
Iteration 10, inertia 4759.211
Iteration 11, inertia 4742.680
Iteration 12, inertia 4718.225
Iteration 13, inertia 4674.541
Iteration 14, inertia 4658.204
Iteration 15, inertia 4651.945
Iteration 16, inertia 4649.553
Iteration 17, inertia 4648.692
Iteration 18, inertia 4647.940
Iteration 19, inertia 4647.454
Iteration 20, inertia 4647.291
Converged at iteration 20
Initialization complete
Iteration  0, inertia 8084.262
Iteration  1, inertia 5162.377
Iteration  2, inertia 5025.459
Iteration  3, inertia 4977.921
Iteration  4, inertia 4957.118
Iteration  5, inertia 4938.017
Iteration  6, inertia 4923.287
Iteration  7, inertia 4902.454
Iteration  8, inertia 4863.607
Iteration  9, inertia 4851.917
Iteration 10, inertia 4848.676
Iteration 11, inertia 4847.101
Iteration 12, inertia 4846.212
Iteration 13, inertia 4845.215
Iteration 14, inertia 4844.609
Iteration 15, inertia 4844.166
Iteration 16, inertia 4843.761
Iteration 17, inertia 4843.651
Iteration 18, inertia 4843.590
Iteration 19, inertia 4843.519
Iteration 20, inertia 4843.457
Iteration 21, inertia 4843.365
Converged at iteration 21
Initialization complete
Iteration  0, inertia 8294.686
Iteration  1, inertia 5184.118
Iteration  2, inertia 4927.889
Iteration  3, inertia 4829.954
Iteration  4, inertia 4783.710
Iteration  5, inertia 4767.941
Iteration  6, inertia 4762.315
Iteration  7, inertia 4760.467
Iteration  8, inertia 4759.440
Iteration  9, inertia 4758.753
Iteration 10, inertia 4758.215
Iteration 11, inertia 4758.049
Iteration 12, inertia 4758.012
Converged at iteration 12
Initialization complete
Iteration  0, inertia 7940.706
Iteration  1, inertia 5100.276
Iteration  2, inertia 4951.530
Iteration  3, inertia 4880.291
Iteration  4, inertia 4841.390
