RCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  0, inertia 7792.976
Iteration  1, inertia 5125.399
Iteration  2, inertia 4893.916
Iteration  3, inertia 4806.962
Iteration  4, inertia 4787.091
Iteration  5, inertia 4780.509
Iteration  6, inertia 4771.721
Iteration  7, inertia 4765.537
Iteration  8, inertia 4763.142
Iteration  9, inertia 4761.347
Iteration 10, inertia 4759.750
Iteration 11, inertia 4758.265
Iteration 12, inertia 4757.279
Iteration 13, inertia 4757.048
Iteration 14, inertia 4756.980
Converged at iteration 14
Initialization complete
Iteration  0, inertia 8003.034
Iteration  1, inertia 5024.323
Iteration  2, inertia 4818.190
Iteration  3, inertia 4711.130
Iteration  4, inertia 4692.997
Iteration  5, inertia 4685.605
Iteration  6, inertia 4680.313
Iteration  7, inertia 4672.437
Iteration  8, inertia 4660.733
Iteration  9, inertia 4652.910
Iteration 10, inertia 4649.668
Iteration 11, inertia 4648.301
Iteration 12, inertia 4647.877
Iteration 13, inertia 4647.642
Iteration 14, inertia 4647.439
Converged at iteration 14
Initialization complete
Iteration  0, inertia 7601.488
Iteration  1, inertia 5033.234
Iteration  2, inertia 4891.401
Iteration  3, inertia 4856.952
Iteration  4, inertia 4846.546
Iteration  5, inertia 4842.734
Iteration  6, inertia 4841.013
Iteration  7, inertia 4840.375
Iteration  8, inertia 4840.185
Iteration  9, inertia 4839.998
Iteration 10, inertia 4839.635
Iteration 11, inertia 4839.521
Iteration 12, inertia 4839.385
Iteration 13, inertia 4839.285
Iteration 14, inertia 4839.226
Iteration 15, inertia 4839.046
Iteration 16, inertia 4838.825
Iteration 17, inertia 4838.729
Converged at iteration 17
Initialization complete
Iteration  0, inertia 8204.686
Iteration  1, inertia 4916.185
Iteration  2, inertia 4725.067
Iteration  3, inertia 4680.998
Iteration  4, inertia 4672.307
Iteration  5, inertia 4666.896
Iteration  6, inertia 4663.603
Iteration  7, inertia 4661.574
Iteration  8, inertia 4660.488
Iteration  9, inertia 4659.571
Iteration 10, inertia 4658.670
Iteration 11, inertia 4658.307
Iteration 12, inertia 4658.274
Iteration 13, inertia 4658.187
Iteration 14, inertia 4658.062
Iteration 15, inertia 4658.005
Converged at iteration 15
Initialization complete
Iteration  0, inertia 8008.034
Iteration  1, inertia 5045.759
Iteration  2, inertia 4895.895
Iteration  3, inertia 4864.109
Iteration  4, inertia 4853.285
Iteration  5, inertia 4835.933
Iteration  6, inertia 4818.166
Iteration  7, inertia 4796.995
Iteration  8, inertia 4769.153
Iteration  9, inertia 4733.932
Iteration 10, inertia 4708.399
Iteration 11, inertia 4681.574
Iteration 12, inertia 4671.877
Iteration 13, inertia 4667.928
Iteration 14, inertia 4667.058
Iteration 15, inertia 4666.794
Converged at iteration 15
Initialization complete
Iteration  0, inertia 8222.745
Iteration  1, inertia 4919.803
Iteration  2, inertia 4779.019
Iteration  3, inertia 4723.997
Iteration  4, inertia 4691.081
Iteration  5, inertia 4668.011
Iteration  6, inertia 4652.419
Iteration  7, inertia 4649.671
Iteration  8, inertia 4649.088
Iteration  9, inertia 4648.530
Iteration 10, inertia 4648.023
Iteration 11, inertia 4647.984
Converged at iteration 11
Initialization complete
Iteration  0, inertia 8241.539
Iteration  1, inertia 5041.347
Iteration  2, inertia 4781.625
Iteration  3, inertia 4683.967
Iteration  4, inertia 4665.325
Iteration  5, inertia 4655.682
Iteration  6, inertia 4651.635
Iteration  7, inertia 4649.439
Iteration  8, inertia 4648.415
Iteration  9, inertia 4647.952
Iteration 10, inertia 4647.442
Iteration 11, inertia 4647.335
Converged at iteration 11
Initialization complete
Iteration  0, inertia 7695.399
Iteration  1, inertia 5113.171
Iteration  2, inertia 4920.149
Iteration  3, inertia 4856.322
Iteration  4, inertia 4831.933
Iteration  5, inertia 4806.370
Iteration  6, inertia 4782.459
Iteration  7, inertia 4769.104
Iteration  8, inertia 4762.265
Iteration  9, inertia 4759.742
Iteration 10, inertia 4757.908
Iteration 11, inertia 4755.055
Iteration 12, inertia 4751.467
Iteration 13, inertia 4741.669
Iteration 14, inertia 4732.559
Iteration 15, inertia 4727.131
Iteration 16, inertia 4725.574
Iteration 17, inertia 4725.414
Converged at iteration 17
Initialization complete
Iteration  0, inertia 7434.017
Iteration  1, inertia 4894.832
